"['GiletJaune', 'GiletsJaunes', 'assembleenationale', 'senat']","RT @GiletsJaunesFr: La France sous protection ...
https://t.co/hvnYtCFFdx
#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelho…",BeaupereFranci1,
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",miguela55309845,
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",darwinpz_,
"['Apple', 'giletsjaunes', 'Lille']",RT @MikaelLibert: #Apple paye tes impôts crient les #giletsjaunes à #Lille https://t.co/o9efvJ4XMl,weedsofperry,"Lille, France"
[],"RT @NicolasBay_: ""L'extrême gauche essaye de récupérer le mouvement des Gilets Jaunes. Il y a une différence, c'est qu'elle manifeste en se…",JulietteLeone1,Luxembourg
[],Un tas de gens touchent la prime d'activité et elle est conséquente : plusieurs témoignages à la télé dont 1 homme… https://t.co/ObQhfofhRo,YMalestre,
[],"RT @Juanico: «Pourquoi une telle frilosité vis-à-vis d’une innovation sociale majeure : l’expérimentation d’un revenu de base, qui aurait ê…",Flodykinn,
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",luchonoisy,
['Amazon'],"RT @LPLdirect: 🇫🇷 [LICENCIEMENT] Des employés d'#Amazon de plusieurs sites français ont été licenciés pour ""faute grave"" : ils ont exprimé,…",pacific_gwak,"Paris, France"
"['Castaner', 'GiletsJaunes']","RT @gguerin82: Il n'y a pas de violence policière en France, #Castaner l'a dit.🤫

Le problème c'est la violence des #GiletsJaunes , c'est #…",allowin08,France
"['Amazon', 'GiletsJaunes']",RT @tvlofficiel: 🏭 Plusieurs salariés français d'#Amazon qui avaient soutenu des actions ou des propos des #GiletsJaunes ont été licenciés.…,Pascal66616113,
"['GreveGenerale5fevrier', 'GiletsJaunes']","RT @SartiAnthony: Les forces de l'ordre qui tabassent des grévistes à Paris. 
#GreveGenerale5fevrier 
#GiletsJaunes https://t.co/NL1qQEEsG7",caro7582,
"['FCNantes', 'FCNNO']",RT @dphelippeau: #FCNantes #FCNNO Le match Nantes-Nîmes prévu samedi soir (9 février) à 20 h est finalement décalé au dimanche 10 février à…,Sindy_Emilie,Chez Moi
"['Paris', 'Macron', 'GreveGenerale5Fevrier']","RT @JLMelenchon: À #Paris, aux côtés des citoyennes et citoyens en lutte contre la politique de #Macron. #GreveGenerale5Fevrier #GiletsJaun…",mmia2,
"['Paris', 'GiletsJaunes', 'CGT']",RT @1_jaunes: 💥Les étudiants de #Paris 1 eux aussi se mobilisent aujourd'hui pour rejoindre les #GiletsJaunes et la #CGT pour la #GreveGene…,Resistoexisto1,"Aragón, España"
"['Français', 'Européens', 'GiletsJaunes', 'GiletJaune']",RT @France_Mon_Pays: #Français &amp; #Européens des centaines de milliards détournés sous notre nez depuis des années #GiletsJaunes #GiletJaune…,isorah_salomet,
"['LBD', 'LBD40', 'GiletsJaunes', 'Acte12', 'acte13']","RT @QuiDerange: Faut il interdire l’usage du lanceur de balles défensives #LBD #LBD40 ?

VOTE 🗳 ET RETWEET 🔁
#GiletsJaunes #Acte12 #acte13…",chabestrat,
"['LR', 'GiletsJaunes', 'LR']","RT @PRANEDOLLY: Non 😲 97 députés #LR ont voté la loi ANTI #GiletsJaunes 
J'ai tout à coup comme une nausée 🤢
Les #LR sont à vomir ... ils n…",777appocalypse,
['Lyon'],RT @Libre_Insolent: #Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler l…,CerveauxNon,"Ile-de-France, France"
['GiletsJaunes'],"RT @DavidCarter_Fra: Merci aux #GiletsJaunes de ne pas prendre l'Italie comme exemple:
- pays en récession economique
- pas de SMIC en Ital…",jmjbest,Lyon
['GiletsJaunes'],RT @manni477: Je suis #GiletsJaunes et convaincu de la force de ce mvt. Mais je voudrais répondre à ce que j’ai entendu en manif ce matin «…,SabineCharreti1,"Ile-de-France, France"
"['Macron', 'GiletsJaunes']","RT @SolidairesNord: arrivée du président #Macron dans le cadre du grand débat national, aujourd’hui, sous les huées des #GiletsJaunes  EVRY…",sage751,Paris
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",OBoriba,
[],RT @YMalestre: Un tas de gens touchent la prime d'activité et elle est conséquente : plusieurs témoignages à la télé dont 1 homme dit gagne…,sebastien_uflo,
"['GiletsJaunes', 'Benalla', 'Benallagate']","RT @la_chouet: Remerciements de @Mediapart aux #GiletsJaunes venus les soutenir 
#Benalla #Benallagate https://t.co/lcxeOkeUbN",Lecourbe15,
"['GiletsJaunes', 'Benalla', 'Benallagate']","RT @la_chouet: Remerciements de @Mediapart aux #GiletsJaunes venus les soutenir 
#Benalla #Benallagate https://t.co/lcxeOkeUbN",AgatheNRV,France
[],Ils vont donc devoir bientôt changer de cheval pour continuer à muscler leur Audimat...,AYP97124475,
[],Cher commerçants à tous ceux qui ont perdus beaucoup de tunes à causes de ces merdes jaunes envoyez vos manques à g… https://t.co/W8BV4AKWLg,JeanAvranche,"Paris, France"
['GreveGenerale5fevrier'],RT @CarolineFiat54: En direct de la manifestation parisienne en ce jour de #GreveGenerale5fevrier. Il est réjouissant de voir les #GiletsJa…,FerdinandDemara,48°52'12.77 N 2°18'59.77 E
['LBD40'],"RT @davduf: allo @Place_Beauvau - c'est pour un signalement - 380 (précisions 4)

Christophe, tir tendu #LBD40, visage atteint. Usage inapp…",Thisisnotauser3,
['Mediapart'],RT @RemyBuisine: DIRECT - Rassemblement de soutien à #Mediapart devant les locaux de la rédaction près de 30H après la tentative de perquis…,kalf_gauche,
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",Miguelmrpmosh,iquitos 
"['Referendum', 'RIC', 'JeromeRodrigues']",RT @philippepoustis: Pas de #Referendum donc pas de #RIC ! CQFD. Faut chercher du boulot maintenant Mr #JeromeRodrigues en évitant si possi…,kiwi4326,
"['GiletsJaunes', 'StreetMedic', 'Bordeaux', 'ActeXII']","RT @Circonscripti18: 💥ALERTE INFO💥 Des passants, #GiletsJaunes et des #StreetMedic à #Bordeaux #ActeXII ont été contraints par une milice à…",SylvainLabois,"Ivry-sur-Seine, France"
[],RT @YMalestre: Un tas de gens touchent la prime d'activité et elle est conséquente : plusieurs témoignages à la télé dont 1 homme dit gagne…,cha_labrecque,
"['loiAntiCasseurs', 'LREM']","RT @JacquesMyard: #loiAntiCasseurs y’a comme des tensions chez les #LREM lors du vote de la loi, 50 députés se sont abstenus, du jamais vu.…",rosalaffay,
"['GiletsJaunes', 'Gouvernement']",RT @GiletsJaunesGo: 🔴 La dissolution de l’Assemblée Nationale réclamée aujourd’hui dans les rues de Paris. #GiletsJaunes #Gouvernement #Par…,ARegiew,
[],"RT @CarsonMacCuller: La perquisition chez Mediapart a été déclenchée sans plainte !!! À l’initiative du procureur seul, nommé par ... Macro…",giletjaun,France
[],Il y a les forces de l'ordre avec des éléments en civil et marteaux et les forces de frappe de Castaner les black b… https://t.co/MSGO7k05v2,jfcar63,"Auvergne, France"
[],"RT @MrUgoThomas: Quand on parle des flashballs...
Le monsieur qui la tenait a préfèré la poser de peur de devenir une cible...
#GreveGenera…",Bouillon2019,Sud-Ouest
"['Strasbourg', 'GreveGenerale5Fevrier']",RT @LPLdirect: 🇨🇵 [FLASH] - Un gendarme a perdu son sang froid à #Strasbourg lors de la #GreveGenerale5Fevrier. Il a interpellé un individu…,plastikman54,Nancy
[],"Je crois que ça commence à se remarquer 
Les blessures, les mutilations et les violences, c'est seulement pour les… https://t.co/o7RNb1Yjf1",Fragren36,
[],"RT @GiletsJaunesGo: 🔴 [Loi Anti-casseurs] - 5 février 
Le droit de manifester est mort...
L’assemblée a votée avec une large majorité, la #…",delreso,France
"['Martinez', 'GiletsJaunes']","RT @BobLeCentriste: Ce soir, ayons une pensée pour Philippe #Martinez.

«1.500 #GiletsJaunes sur les ronds-points dans toute la France: la…",GalBMichel,
['giletsjaunes'],"RT @mompontet: La prochaine fois que Jérôme Rodriguès, le très télégénique leader autoproclamé des #giletsjaunes monte sur une barricade po…",kornog2,paris
['GiletsJaunes'],"RT @BrunoBilde: En dénaturant la loi anti-casseurs de Retailleau, LREM l'a transformée en loi anti-#GiletsJaunes, foulant aux pieds les lib…",isorah_salomet,
"['LR', 'GiletsJaunes', 'LR']","RT @PRANEDOLLY: Non 😲 97 députés #LR ont voté la loi ANTI #GiletsJaunes 
J'ai tout à coup comme une nausée 🤢
Les #LR sont à vomir ... ils n…",ChartierXavier,
