,tweet,retweets
6154,"[En couverture] Médias, censure et pensée unique #giletsjaunes &gt;&gt;  ",24
703,#LeGrandDebat #GiletsJaunes,24
7543,"Malgré les milliers de blessé·es, les personnes mutilées à vie, ce gouvernement irresponsable continue à le nier ! ",24
17288,🔵 Les Gilets Jaunes sont soutenus !,24
17289,▪️65% des Français soutiennent le mouvement des #GiletsJaunes. ,24
17290,"▪️77% d’entre-eux, trouvent même le mouvement justifié. ",24
702,@libe @JY_LeDrian @AFD_France @lemondefr,24
11754,Ces résultats montrent une légère hausse du soutien par rapport au dernier sondage de janvier.,24
6986,"Entendre la journaliste #SophieCoignard (#LePoint) oser déclarer qu'#EmmanuelMacron ferait ""de la procrastination politique au lieu de réformer la France"". Elle oublie et la crise des #GiletsJaunes et le #GrandDebat #AveuglementOuFoutageDeGueule",24
20243,"Quelqu’un peut m’expliquer qui finance ce mouvement ? Ces gens ne bossent plus, passent leur temps dans les médias, ou à faire des coups médiatiques, vont d’un endroit à l’autre pour des manifestations... qui paye ? #GILETSJAUNES ",24
21366,Il voit les #GiletsJaunes comme l’opportunité de créer le désordre ,24
18635,"Évidemment car Steve Bannon, citoyen US,  cherche à affaiblir l’Europe et pour cela s’efforce de créer une « multinationale des nationalistes » à laquelle se prête honteusement @MLP_officiel !#TrahisonDeLaFrance",24
3686,#GiletsJaunes #Matignon #Benalla #AlstomSiemens #ActeXIII,23
6108,"Un message émouvant, presque terrible. À écouter, à partager.",23
6730,#GrandDebatBeziers #GiletsJaunes ,23
3828,"La #Police en France est tellement professionnelle, qu'a chaque fois qu'elle tire au Flash-Ball ce n'est pas pour toucher un casseur, mais des #GiletsJaunes .",23
3829,"À se demander si les casseurs ne sont pas des flics, d'où l'hésitation à leur tiré dessus.",23
17257,⚡️NÎMES - INSOLITE ⚠️ / L’entrée de la zone industrielle de #Grezan est bloquée ⛔️ par barrage impressionnant construit par des #GiletsJaunes ,23
7443,Vous en pensez quoi ?,23
3685,"Depuis l'élection de #Macron, diriez vous que votre situation s'est :",23
4580,"Un Français sur dix estime que l'attentat du 11 décembre à #Strasbourg était une «manipulation du gouvernement pour détourner l'attention» en plein mouvement des #GiletsJaunes, selon un sondage Ifop",23
9412,"#HevéMombo enfin libre: ""La #Démocratie qu'on nous vend au #Gabon c'est tout simplement la #Dictature""",22
16747,Donc pour l'ifop #Macron est à 34% d'opinion favorable et pour yougov il est à 21% y a quand même un sacré écart non ? 13 points c'est bien au delà de la marge d'erreur #Giletsjaunes ,22
17948,Les #GiletsJaunes ont perdu la bataille des télés. #EmmanuelMacron mobilise les 4 chaînes d'infos durant 5 à 6 h de direct tous les 2 ou 3 jours. Or c'est tout sauf de la communication: ceux qui regardent voient que ces échanges sont profonds et sans tabou ,21
7345,Mais où va donc notre argent ? Question #GiletsJaunes,21
14103,"Macron, coincé par la dette, n'aura pas d'autres choix que de ponctionner les Français encore plus Les #GiletsJaunes ont de beaux jours devant eux et auront encore plus de monde au fil des mois ",21
6144,Réponse : Macron l'utilise pour gazer la place de la Concorde !,21
10793,"L'oligarchie est aux abois, continuons le combat ! ",21
10792,"Apeurés par la révolte populaire qui menace leurs intérêts, les milliardaires #XavierNiel et #MatthieuPigasse utilisent leur magazine pour attaquer le principal soutien des #GiletsJaunes et sauver Macron. ",21
19878,"Je me demande ce qui se passerait si deux journalistes vénézuéliens, se faisant passer pour des touristes, filmaient le palais de l’Élysée avec leur téléphone portable un samedi après-midi pendant une manif des #GiletsJaunes. ",20
1224,Macron tente de transformer la révolte fiscale qu’il a provoqué en crise institutionnelle,19
5897,La France sous protection ...,19
17151,"Ah déjà les écoutes ! On ne peut que s'interroger sur l'allocation des moyens de l'Etat et sa volonté de lutter c/ la criminalité. Ah les #giletsjaunes, vermines contestataires semblent mériter toutes les entraves (ironie). Comme c'est mal joué ! ",19
12364,64% des Français continuent à soutenir les #giletsjaunes (+2). Le mouvement ne s’essouffle que dans les éléments de langage d’En Marche !,19
6219,#enfumage électoral ,19
409,"Si vous ne voulez pas que les citoyens refusent les changements, faites des changements qui améliorent leur vie et non des changements qui la pourrissent... alors que pendant ce temps-là vos copains riches se gavent ! #Insoumis  #Ecologie #GiletsJaunes #ActeXIII #Acte13",19
